content,label,path
lufthansa fly profit german airline lufthansa return profit two thousand four post huge loss two thousand three preliminary report airline announce net profit four hundred euro dollar five hundred twenty seven point six one sterling two hundred seventy four point seven three compare loss nine hundred eighty four euro two thousand three operating profit three hundred eighty euro ten time two thousand three lufthansa hit two thousand three tough competition dip demand follow iraq war killer virus hit trouble business year lufthansa sign recovery european airline bankruptcy board lufthansa recommend pay two thousand four dividend zero point three euro share two thousand three shareholder dividend company detail two thousand four result twenty three march,business,../data\business\business_1.txt
winn dixie files bankruptcy supermarket group winn dixie file bankruptcy protection succumb stiff competition market dominate wal mart winn dixie profitable chapter eleven protection enable successfully restructure nine hundred twenty store remain open analyst likely load number site florida base firm total debt dollar sterling nine hundred eighty bankruptcy list big food giant food owe dollar fifteen point one init_case analyst winn dixie consumer demand burden number store need upgrade ten month plan deem failure follow large expect quarterly loss early month winn dixie slide bankruptcy widely expect company new chief executive peter lynch winn dixie use chapter eleven space necessary action turn include achieve significant cost reduction improve customer service location generate sense excitement store senior bond analyst gimme credit mr lynch job easy bankruptcy inevitably customer real big issue going happen one two quarter bankruptcy customer local newspaper,business,../data\business\business_10.txt
economy grow fed area economy continue expand december early january federal reserve late book report twelve region identify study eleven strong economic growth cleveland area fall mixed rating consumer spending high december november festive sale two thousand three employment picture improve feed labour market firm number district wage pressure generally remain modest book district report high price building material manufacturing input report steady slightly high overall price level report add residential real estate activity remain strong commercial real estate activity strengthen district office lease especially washington dc new york city two nation strong commercial market feed,business,../data\business\business_100.txt
saab build sweden general motor world large car maker confirm build new medium sized cadillac loss saab factory sweden car unveil geneva motor intend compete medium sized luxury car market sell gm europe president carl peter forster effort marque appeal european driver car first cadillac diesel engine gm announcement way fear saab factory factory centre rumour gm plan severe cutback trouble european operation group new commitment swedish factory welcome group opel germany face large proportion gm cut announcement good news sweden reflect saab failure significant lucrative european luxury car market year saab consistently compete head bmw segment leader agree gm plan build american marque sweden effort push alternative luxury brand european driver long establish brand presidential carry prove tough cadillac steal market share major europe luxury car maker notably toyota subsidiary enjoy tremendous success manage significant europe german marque mercede benz bmw retain luxury market bring cadillac production sweden help introduce desperately need scale saab factory currently produce one hundred thirty thousand car year half major car maker consider sufficient number profitable operation saab lose money fast albeit loss halve two thousand four dollar two hundred sterling one hundred four one hundred fifty one euro dollar five hundred previous year twelve thousand job cut announce year european operation gm reduce expenditure build saab opel vauxhall uk framework allow different brand share way reduce saab loss shift production saab market driver adopt european car remove exposure weak dollar saab expensive consumer industry agree good way forward know five year dollar strong today chief executive lead european car maker tell bbc news current trend production stupid separate announcement gm unveil new scheme allow european consumer chance test drive opel vauxhall model deploy fleet thirty five thousand test car forty country invite potential buyer try vehicle twenty four hour follow similar initiative gm gm want change customer perception opel vauxhall car quality improve recent year,business,../data\business\business_11.txt
bank vote eight one rate change decision interest rate hold four point seven five percentage early month pass eight one bank england rate set body minute one member bank monetary policy committee mpc paul vote raise rate five percentage news surprise analyst expect late minute unanimous decision worry growth rate consumer spending decision freeze rate minute bank late inflation report release week note main reason inflation fall weak consumer spending mpc member paul vote quarter point rise interest rate five percentage argue economic growth pick equity credit housing market strong expect bank minute risk inflation forecast sufficiently downside rate hold late meeting minute add member note increase warrant course economy evolve line central projection ross walker uk economist royal bank scotland surprised vote soon minute appear try market focus possibility rise rate economy pan expect probably hike rate add rate increase likely happen later year mpc member likely look sustainable pick consumer spending act,business,../data\business\business_12.txt
industrial revival hope japan japanese industry grow fast expect boost hope country retreat recession industrial output rise two point one percentage adjust time year january month early time retail sale pick fast time nineteen ninety seven news send tokyo share eight month high investor hope recovery three quarter april two thousand four nikkei two hundred twenty five index end day zero point seven percentage point yen strengthen zero point seven percentage dollar one hundred four point five three yen weak export normally engine japan economy face weak domestic demand help trigger zero point one percentage final three month year two previous quarter shrink gdp exceptionally strong performance early month two thousand four year decline output figure bring cautiously optimistic response economic official overall low risk economy fall recession bank japan chief despite warn indicator growth number worry overall industrial output figure sign export slowdown perform sector key overseas sale area car chemical electronic good growth expect picture export early two thousand five one sustained demand electronic one key improve domestic market product flat screen high demand january,business,../data\business\business_13.txt
khodorkovsky ally deny charge close associate yukos boss khodorkovsky tell court fraud charge level false lebedev trial alongside mr khodorkovsky june case centre firm pair claim punish authority political ambition mr khodorkovsky mr lebedev absurd case open defence legal basis charge face include allegation tax evasion understand file complaint tell moscow court mr lebedev head group parent company yukos mr lebedev mr khodorkovsky face possible ten year jail sentence convict question judge day mr khodorkovsky begin week tell court object way run normal business present work criminal fiction charge supporter politically motivate drive russian president vladimir rein country super rich business leader yukos present dollar sterling tax demand russian authority key yugansk division auction settle bill company effort gain bankruptcy protection bid win damage sale dismiss court texas,business,../data\business\business_14.txt
china tight rein credit china effort stop economy overheat clamp credit continue two thousand five state medium report curb introduce early year ward risk rapid expansion lead soar price fear stress place banking system growth china remain breakneck nine point one percentage corporate investment grow twenty five percentage year breakneck pace economic expansion growth nine percentage year rapid china manufacturing sector mean massive demand energy one factor world oil price sky high year theory government seven percentage growth target continue insist mean hard landing shape economy low exchange rate china yuan peg rate eight point two eight dollar relentless decline mean chinese export cheap world market china far resist international pressure break link shift level peg extent credit control effect industrial output grow fifteen point seven percentage year october twenty three percentage february inflation slow four point three percentage retail sale boom,business,../data\business\business_15.txt
verizon seal takeover mci verizon win takeover battle phone firm mci bid worth dollar sterling report two firm expect seal deal monday morning accord news agency report despite think high bid qw telecom market consolidate fast long distance giant at&t buy subsidiary sbc early year dollar mci exit bankruptcy april bust previous worldcom bankruptcy follow admission two thousand two illegally book expense inflate profit shareholder lose dollar company collapse twenty thousand worker lose job worldcom boss currently trial accuse dollar fraud qw come suspicion sub standard behaviour pay security exchange commission dollar two hundred fifty october settle charge manipulate result wall street happy mci second big long distance firm at&t consolidation telecommunication industry pick past month company look cut cost boost client basis merger mci verizon fifth billion dollar telecom deal october week sbc communication agree buy parent phone trailblazer at&t dollar buy mci qw verizon access mci global network business base subscriber similar one underpin sbc at&t deal verizon far big company successful mobile arm factor board favour suitor offer mixture cash share,business,../data\business\business_16.txt
crossrail link ahead sterling 10bn crossrail transport plan business group ahead month accord mail sunday uk treasury allocate sterling 7.5bn dollar project talk business group raise rest begin shortly delay crossrail link bill provide fast cross london rail link paper house commons twenty three february second reading follow sixteen seventeen march introduce hybrid bill crossrail spring remain case department transport sunday jeremy de spokesman crossrail sunday confirm treasury planning invest sterling 7.5bn bill parliament impetus provide proximity election new line far west london link city city forty minute dramatically cut journey time business reduce tube line support mayor london ken livingstone business group government three year argument fund mail sunday financial mail sterling 7.5bn treasury money earmark spend sterling 2.5bn instalment twenty ten twenty eleven twenty twelve,business,../data\business\business_17.txt
small firm hit rise cost rise fuel material cost hit confidence uk small manufacturer despite rise output business lobby group cbi cbi quarterly survey find output rise fast rate seven year firm benefit offset increase expense cbi find spend innovation training forecast year firm continue scale investment building machinery cbi company look government regulatory load hope interest rate hold small manufacturer face struggle hugh morgan williams chair cbi council manufacturing sector need period long term stability economy cbi find firm manage increase price first time nine year increase fail rise cost company survey thirty percentage order rise twenty seven percentage fall positive balance plus three compare minus ten previous survey firm question output volume survey return balance plus eight high rate increase seven year rise plus eleven look ahead three month,business,../data\business\business_18.txt
deutsche boerse boost dividend deutsche boerse german stock exchange try buy london rival boost two thousand four dividend payment twenty seven percentage analyst aim win investor oppose bid london stock exchange critic takeover complain money return cash shareholder deutsche boerse profit three month thirty one december one hundred twenty point seven euro dollar one hundred fifty eight point eight sterling eighty three point three sale climb three hundred sixty four point four euro lift revenue year record euro frankfurt base deutsche boerse offer sterling 1.3bn dollar london stock exchange rival pan european euronext working bid late monday deutsche boerse lift two thousand four dividend payment seventy euro cent sterling zero point four eight dollar zero point nine eight fifty five euro cent year early sweetener analyst tell bbc world business report shareholder deutsche boerse complain money bid place hand pay dividend mr continue deutsche boerse try buy sense,business,../data\business\business_19.txt
