content,label
lufthansa fly profit german airline lufthansa return profit thousand post huge loss thousand preliminary report airline announce net profit euro dollar seven point pound sterle seventy point seven compare loss eighty euro thousand operating profit eighty euro time thousand lufthansa hit thousand tough competition dip demand follow iraq war killer sars virus hit trouble catering business year lufthansa show sign recovery european airline teeter brink bankruptcy board lufthansa recommend pay thousand dividend zero point euro share thousand shareholder dividend company say detail thousand result march,business
winn dixie file bankruptcy supermarket group winn dixie file bankruptcy protection succumb stiff competition market dominate wal mart winn dixie profitable grocer say chapter protection enable successfully restructure say store remain open analyst say likely load number site jacksonville florida base firm total debt dollar 1.87bn pound sterling eighty bankruptcy petition list big creditor food giant kraft food owe dollar point m. analyst winn dixie keep consumer demand burden number store need upgrade month restructuring plan deem failure follow large expect quarterly loss early month winn dixie slide bankruptcy widely expect company new chief executive peter lynch say winn dixie use chapter breathing space necessary action turn include achieve significant cost reduction improve merchandising customer service location generate sense excitement store say evan mann senior bond analyst gimme credit say mr lynch job easy bankruptcy inevitably customer real big issue go happen quarter bankruptcy customer local newspaper say,business
economy grow say feed area see economy continue expand december early january federal reserve say late beige book report region identify study show strong economic growth cleveland area fall mixed rating consumer spending high december november festive sale thousand employment picture improve fed say labour market firm number district wage pressure generally remain modest beige book say district report high price build material manufacturing input report steady slightly high overall price level report add residential real estate activity remain strong commercial real estate activity strengthen district office leasing especially brisk washington dc new york city nation strong commercial market fed say,business
"saab build cadillac sweden general motor world large car maker confirm build new medium sized cadillac bls loss make saab factory sweden car unveil geneva motor intend compete medium sized luxury car market sell say gm europe president carl peter forster effort marque appeal european driver car cadillac diesel engine gm announcement way allay fear saab factory closure factory trollhaettan centre rumour gm plan severe cutback troubled european operation group new commitment swedish factory welcome group opel worker ruesselsheim germany face large proportion gm cut announcement see unalloyed good news sweden reflect saab failure significant inroad lucrative european luxury car market year saab consistently say compete head bmw mercede jaguar segment leader agree gm plan build american marque sweden effort push alternative luxury brand european driver long establish upmarket brand presidential limousine carry badge prove tough cadillac steal market share major europe luxury car maker notably toyota subsidiary lexus enjoy tremendous success manage significant inroad europe german marque mercedes benz bmw retain stranglehold luxury market bring cadillac production sweden help introduce desperately need scale saab factory currently produce few 130,000 car year half major car maker consider sufficient number profitable operation saab lose money fast albeit loss halve thousand dollar pound sterling euro dollar previous year 12,000 job cut announce year european operation gm reduce expenditure build saab opel badge vauxhall uk cadillac framework allow different brand share part way reduce saab loss shift production saab market driver adopt upmarket european car remove exposure weak dollar make saab expensive consumer industry agree good way forward know year dollar strong today chief executive lead european car maker tell bbc news current trend production stupid say separate announcement gm unveil new scheme allow european consumer chance test drive opel vauxhall model deploy fleet 35,000 test car country invite potential buyer try vehicle hour follow similar initiative gm gm say want change customer perception opel vauxhall car show quality improve recent year",business
bank vote rate change decision interest rate hold point seven percentage early month pass bank england rate set body minute show member bank monetary policy committee mpc paul tucker vote raise rate percentage news surprise analyst expect late minute unanimous decision worry growth rate consumer spending decision freeze rate minute show bank late inflation report release week note main reason inflation fall weak consumer spending mpc member paul tucker vote quarter point rise interest rate percentage argue economic growth pick equity credit housing market strong expect bank minute say risk inflation forecast sufficiently downside rate hold late meeting minute add member note increase warrant course economy evolve line central projection ross walker uk economist royal bank scotland say surprised dissent vote soon say minute appear try market focus possibility rise rate economy pan expect probably go hike rate add rate increase likely happen later year mpc member likely look sustainable pick consumer spending act,business
"industrial revival hope japan japanese industry grow fast expect boost hope country retreat recession industrial output rise point percentage adjust time year january month early time retail sale pick fast time nineteen ninety seven news send tokyo share month high investor hope recovery quarter contraction see april thousand nikkei index end day zero point seven percentage 11,740.60 point yen strengthen zero point seven percentage dollar point yen weak export normally engine japan economy face weak domestic demand help trigger zero point percentage contraction final month year previous quarter shrink gdp exceptionally strong performance early month thousand keep year show decline output figure bring cautiously optimistic response economic official overall low risk economy fall recession say bank japan chief toshihiko fukui despite warn indicator growth number worry overall industrial output figure sign pullback export slowdown good perform sector key overseas sale area car chemical electronic good growth well expect picture export early thousand sustained demand electronic key improve domestic market product flat screen tv high demand january",business
khodorkovsky ally deny charge close associate yukos boss mikhail khodorkovsky tell court fraud charge level false platon lebedev trial alongside mr khodorkovsky june case centre privatisation fertiliser firm pair claim punish authority political ambition mr khodorkovsky mr lebedev say absurd contradiction case open defence say legal basis charge face include allegation tax evasion embarrassment understand file complaint tell moscow court mr lebedev head menatep group parent company yukos mr lebedev mr khodorkovsky face possible year jail sentence convict question judge day mr khodorkovsky begin testimony week tell court object way running normal business present work criminal fiction charge see supporter politically motivated drive russian president vladimir putin rein country super rich business leader call oligarchs yukos present dollar 27.5bn pound sterling 13bn tax demand russian authority key yugansk division auction settle bill company effort gain bankruptcy protection bid win damage sale dismiss court texas,business
china keep tight rein credit china effort stop economy overheat clamp credit continue thousand state medium report curb introduce early year ward risk rapid expansion lead soar price fear stress place fragile banking system growth china remain breakneck point percentage corporate investment grow percentage year breakneck pace economic expansion keep growth percentage year rapid tooling china manufacturing sector mean massive demand energy factor keep world oil price sky high year theory government seven percentage growth target continue insist overshoot mean hard landing shape overbalance economy low exchange rate china yuan peg rate point dollar relentless decline mean chinese export cheap world market china far resist international pressure break link shift level peg extent credit control take effect industrial output grow point seven percentage year october percentage february inflation slow point percentage retail sale boom,business
"verizon seal takeover mci verizon win takeover battle phone firm mci bid worth dollar 6.8bn pound sterling 3.6bn report firm expect seal deal monday morning accord news agency report despite think high bid qwest telecom market consolidate fast long distance giant at&t buy subsidiary sbc early year dollar 16bn mci exit bankruptcy april having go bust previous worldcom bankruptcy follow admission thousand illegally book expense inflated profit shareholder lose dollar 180bn company collapse 20,000 worker lose job worldcom boss bernie ebbers currently trial accuse oversee dollar 11bn fraud qw come suspicion sub standard behaviour pay security exchange commission dollar october settle charge manipulate result wall street happy mci second big long distance firm at&t consolidation telecommunication industry pick past month company look cut cost boost client basis merger mci verizon fifth billion dollar telecom deal october week sbc communication agree buy parent phone trailblazer at&t dollar 16bn buying mci qwest verizon access mci global network business base subscriber rationale similar underpin sbc at&t deal verizon far big company successful mobile arm factor swing board favour suitor offer mixture cash share",business
crossrail link ahead pound sterling 10bn crossrail transport plan back business group ahead month accord mail sunday say uk treasury allocate pound sterling 7.5bn dollar 13.99bn project talk business group raise rest begin shortly delay crossrail link bill provide fast cross london rail link paper say house common february second reading follow sixteen seventeen march ve say go introduce hybrid bill crossrail spring remain case department transport say sunday jeremy de souza spokesman crossrail say sunday confirm treasury plan invest pound sterling 7.5bn bill parliament say impetus provide proximity election new line far maidenhead berkshire west london link heathrow canary wharf city heathrow city minute dramatically cut journey time business traveller reduce overcrowding tube line support mayor london ken livingstone business group government year argument fund mail sunday financial mail say pound sterling 7.5bn treasury money earmark spend pound sterling 2.5bn instalment,business
